Guide_ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Basic_Skills_Avg,Nature_Knowledge_Avg,Interpretation_Avg,Leadership_Safety_Avg,Cultural_Expertise_Avg,Overall_Average,Recommended_Course
GUIDE_0002,2,3,3,4,2,2,2,2,1,4,4,1,2,2,2,1,2,3,5,3,3,2,2,3,2,2,3.0,2.0,2.5,2.5,2.3333333333333335,2.4615384615384617,Nature Guide Fundamentals
GUIDE_0002,4,3,4,4,4,4,3,3,3,3,4,4,1,3,2,3,4,4,4,3,3,3,4,3,3,3,3.75,3.5,3.5,3.0,3.1666666666666665,3.3076923076923075,Advanced Park Guiding: Leadership and Safety
GUIDE_0002,4,3,3,2,2,3,3,2,3,4,3,3,4,3,3,3,3,2,4,3,1,3,2,2,3,2,3.0,2.5,3.25,3.125,2.1666666666666665,2.8076923076923075,Master Park Guide Certification Program
GUIDE_0002,1,2,4,2,2,2,1,3,3,3,1,3,1,3,4,1,2,2,2,1,2,1,3,1,3,2,2.25,2.0,2.5,2.0,2.0,2.1153846153846154,Nature Guide Fundamentals
GUIDE_0002,5,4,4,3,5,5,3,4,4,4,4,4,2,4,4,3,3,3,3,4,4,3,3,3,4,2,4.0,4.25,4.0,3.25,3.1666666666666665,3.6153846153846154,Master Park Guide Certification Program
GUIDE_0002,4,4,4,5,4,4,5,4,4,4,5,4,4,4,5,5,3,3,4,4,4,5,4,5,5,4,4.25,4.25,4.25,4.0,4.5,4.230769230769231,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0002,2,4,3,3,3,2,3,3,2,2,1,2,4,2,2,2,1,3,3,3,4,1,4,2,1,2,3.0,2.75,1.75,2.5,2.3333333333333335,2.4615384615384617,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0002,4,5,3,4,4,5,3,5,3,3,4,4,2,3,3,3,4,5,3,5,1,3,3,4,3,3,4.0,4.25,3.5,3.5,2.8333333333333335,3.5384615384615383,Master Park Guide Certification Program
GUIDE_0003,5,3,3,3,3,4,2,4,3,4,3,2,5,4,1,2,4,2,3,3,2,3,1,4,2,3,3.5,3.25,3.0,3.0,2.5,3.0,Master Park Guide Certification Program
GUIDE_0003,4,4,4,5,5,5,4,4,4,4,4,4,3,4,5,4,4,4,4,4,3,3,3,4,4,5,4.25,4.5,4.0,4.0,3.6666666666666665,4.038461538461538,Explore & Lead: Park Guide Mentorship Journey
GUIDE_0003,2,5,5,3,1,4,3,4,1,2,3,3,2,3,2,3,3,3,3,2,1,4,3,2,4,2,3.75,3.0,2.25,2.625,2.6666666666666665,2.8076923076923075,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0003,5,4,3,2,5,4,4,4,2,3,4,4,3,3,4,3,2,3,4,4,2,3,3,3,4,4,3.5,4.25,3.25,3.25,3.1666666666666665,3.423076923076923,Master Park Guide Certification Program
GUIDE_0003,4,4,5,5,4,4,4,3,3,5,5,5,4,4,5,5,4,3,3,4,3,2,3,3,5,4,4.5,3.75,4.5,4.0,3.3333333333333335,3.9615384615384617,Master Park Guide Certification Program
GUIDE_0003,3,3,2,1,3,3,3,3,3,2,2,3,3,5,4,4,2,2,2,3,1,2,3,1,3,1,2.25,3.0,2.5,3.125,1.8333333333333333,2.576923076923077,Master Park Guide Certification Program
GUIDE_0003,2,4,4,4,4,3,4,4,4,4,4,3,3,2,3,3,4,5,4,3,4,2,1,3,2,3,3.5,3.75,3.75,3.375,2.5,3.3076923076923075,Master Park Guide Certification Program
GUIDE_0003,3,3,3,5,3,2,4,4,2,2,2,4,4,4,4,1,3,2,2,3,4,2,1,2,5,2,3.5,3.25,2.5,2.875,2.6666666666666665,2.923076923076923,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0004,5,4,3,3,4,5,3,5,3,3,3,2,3,3,2,2,3,5,3,2,3,3,1,3,3,4,3.75,4.25,2.75,2.875,2.8333333333333335,3.1923076923076925,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0004,4,2,3,3,4,4,3,3,4,4,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,4,3.0,3.5,3.25,2.875,3.0,3.076923076923077,Advanced Park Guiding: Leadership and Safety
GUIDE_0004,3,5,4,4,4,4,3,4,3,4,3,3,3,2,2,4,4,3,3,4,2,3,3,3,4,2,4.0,3.75,3.25,3.125,2.8333333333333335,3.3076923076923075,Master Park Guide Certification Program
GUIDE_0004,2,4,3,3,1,5,3,3,3,3,1,3,2,1,4,2,3,3,2,5,3,1,2,3,3,1,3.0,3.0,2.5,2.75,2.1666666666666665,2.6538461538461537,Master Park Guide Certification Program
GUIDE_0004,4,4,5,4,4,2,4,4,4,3,3,4,3,3,3,3,4,3,4,3,2,3,3,3,4,3,4.25,3.5,3.5,3.25,3.0,3.423076923076923,Master Park Guide Certification Program
GUIDE_0004,5,4,3,3,3,3,3,4,4,4,3,4,3,3,3,2,4,4,4,4,5,2,2,3,3,3,3.75,3.25,3.75,3.375,3.0,3.3846153846153846,Master Park Guide Certification Program
GUIDE_0004,3,4,2,3,4,3,3,4,4,3,1,3,4,3,4,2,2,4,4,4,3,3,3,4,3,4,3.0,3.5,2.75,3.375,3.3333333333333335,3.230769230769231,Eco-Guide Training: Field & Interpretation Skills
GUIDE_0004,4,3,4,4,5,3,4,4,4,3,4,4,2,3,3,4,2,3,4,4,3,3,4,2,2,4,3.75,4.0,3.75,3.125,3.0,3.423076923076923,Master Park Guide Certification Program
